system_type,product_index,brand,series,capacity,capacity_num_kw,size_kw,phase,model,unit_price_inc_gst,price_inc_gst,rebate,net_unit_cost_inc_gst_minus_rebate
Ducted,39,TCL,,7.1kW,7.1,7.1,Single,TCD71D1HWH-DVO/TCD71D1HWH-DVI,1650.00,1650.00,825.00,825.00
Ducted,40,TCL,,8.5kW,8.5,8.5,Single,TCD85D1HWH-DVO/TCD85D1HWH-DVI,2090.00,2090.00,889.00,1201.00
Ducted,41,TCL,,10.0kW,10,10,Single,TCD100D1HWH-DVO/TCD100D1HWH-DVI,2200.00,2200.00,2300.00,-100.00
Ducted,42,TCL,,12.5kW,12.5,12.5,Single,TCD125D1HWH-DVO/TCD125D1HWH-DVI,2570.00,2570.00,1141.28,1428.72
Ducted,43,TCL,,14.0kW,14,14,Single,TCD140D1HWH-DVO / TCD140D1HWH-DVI,2795.00,2795.00,2297.00,498.00
Ducted,44,TCL,,16.0kW,16,16,Single,TCD160D1HWH-DVO / TCD160D1HWH-DVI,3025.00,3025.00,2004.00,1021.00
Ducted,45,Actron,,10.0kW,10,10,Single,CRS10AS / EVA10AS,3795.00,3795.00,795.32,2999.68
Ducted,46,Actron,,13.0kW,13,13,Single,CRS13AS / EVA13AS,4169.00,4169.00,1669.94,2499.06
Ducted,47,Actron,,15.0kW,15,15,Single,CRS15AS / EVA15AS,4895.00,4895.00,2191.38,2703.62
Ducted,48,Actron,,17.0kW,17,17,Single,CRS17AS / EVA17AS,5632.00,5632.00,2238.44,3393.56
Ducted,49,Actron,,20.0kW,20,20,Three,CRS20AT / EVA20AS,6600.00,6600.00,2788.14,3811.86
Ducted,50,Actron,,23.0kW,23,23,Three,CRS23AT / EVA23AS,7623.00,7623.00,3255.24,4367.76
